author	comment	vote
星空	非常喜欢的真人故事哦，攀登者勇往直前，克服困难，太值得钦佩哦！重点是还有最喜欢胡歌哦！	3
望城	国庆可以带家长去看的电影	0
当爱已成往事	国庆去看	0
杨石泉	期待中...吴京再创辉煌！！	1
霜蟾	期待	1
德莱子	我以为这会是一场势均力敌的战斗 可惜导演居然是李仁港！	3
Callenreese	老胡路人粉在此，安排！	3
罗里吧嗦	期待吴京新电影，期待每位演员的精彩奉献。为中国电影喝彩，让中国信念飘扬在珠峰之巅~	0
蚀心	胡歌	4
saga7	这，这是珠峰飞碟帽队？	0
txchun	期待吴京打败吴京	1
旻子纪	期待着这部电影 期待着每一次电影院见的机会 一定很有力量 我很期待	2
等边三角形二世	看到整容满心期待，可是为什么是个烂片王导演🤔🤔🤔🤔¿¿¿	2
Echo不着急	十一最期待的片子哦	1
7 letter	国庆和爸妈看的电影之一	0
wangzhen1116	不知该不该赞，就怕上映后蜂拥而至去攀登珠峰或者去大本营的粉丝们，你们可以想一下那么画面……	1
静静等待	有胡歌 听说都拍很辛苦	4
暖阳	五星提前安排	2
白菜帮子	期待！	3
乔梓	题材          ✔️
演员          ✔️
质感          ✔️
剧照          ✔️
导演………（点进看了下有点担心）	2
胡汉三又回来了	让我看看小京灵的下一步电影是什么样	3
yunhjt	提档到8月做消暑大作吧，不然只能消秋老虎了	3
Flimdown	开心 鸟最好了	2
罗布泊泊	吴京，毫不夸张滴说，应该是华人影视圈第一个把天安门两边的标语通过电影语言讲明白的，而这部电影就是天安门城门楼子中间的头像
拒绝观看！	0
Keleian	很棒的题材，有实力的制作班底和演员，期待！！！	2
一剑凌云	早就非常期待这部作品了，更想见胡歌，吴京	0
虐心无敌	有胡歌，必看	3
🌙+	是我几个月前看预告就想看的片子了！！！	3
巍巍一笑很倾城	本来8844.43对我而言只是冰冷的知识点而已，看了电影背后的历史故事，好想哭😭😭😭	0
张十二三四五	吴京的电影就特别期待！！	1
千亦	题材喜欢，演员喜欢，期待	0
东方既白	演员让人放心，导演让人担心	3
建瓴	希望能看到半身像。	3
留白	演员阵容井柏然格格不入...	3
蔚珏。	正能量电影❤	0
右手握着白莲花	我觉得这片可以缩减一下加入《我和我的祖国》中去	0
Sirius	卡司太强了	1
